848
	0
NOUN Erro|datv|femn|inan|plur	1433
NOUN Erro|Sgtm|datv|femn|inan|sing	1439
NOUN Erro|accs|femn|inan|sing	1427
NOUN Erro|accs|femn|inan|plur	1434
NOUN Erro|Sgtm|accs|femn|inan|sing	1440
NOUN Erro|ablt|femn|inan|sing	1428
NOUN Erro|ablt|femn|inan|plur	1435
NOUN Erro|Sgtm|ablt|femn|inan|sing	1441
NOUN Erro|inan|loct|masc|sing	77
NOUN Erro|femn|inan|loct|sing	1430
NOUN Erro|femn|inan|loct|plur	1436
NOUN Erro|Sgtm|femn|inan|loct|sing	1443
NOUN Erro|Name|anim|masc|nomn|sing	1444
NOUN Erro|Name|anim|masc|nomn|plur	1450
NOUN Erro|Name|anim|gent|masc|sing	1445
NOUN Erro|Name|anim|gent|masc|plur	1451
NOUN Erro|Name|anim|datv|masc|sing	1446
NOUN Erro|Name|anim|datv|masc|plur	1452
NOUN Erro|Name|accs|anim|masc|sing	1447
NOUN Erro|Name|accs|anim|masc|plur	1453
NOUN Erro|Name|ablt|anim|masc|sing	1448
NOUN Erro|Name|ablt|anim|masc|plur	1454
NOUN Erro|Name|anim|loct|masc|sing	1449
NOUN Erro|Name|anim|loct|masc|plur	1455
NOUN Erro|Patr|anim|masc|nomn|sing	1456
NOUN Erro|Patr|anim|femn|nomn|sing	1468
NOUN Erro|Patr|anim|masc|nomn|plur	1462
NOUN Erro|Patr|anim|femn|nomn|plur	1474
NOUN Erro|Patr|anim|gent|masc|sing	1457
NOUN Erro|Patr|anim|femn|gent|sing	1469
NOUN Erro|Patr|anim|gent|masc|plur	1463
NOUN Erro|Patr|anim|femn|gent|plur	1475
NOUN Erro|Patr|anim|datv|masc|sing	1458
NOUN Erro|Patr|anim|datv|femn|sing	1470
NOUN Erro|Patr|anim|datv|masc|plur	1464
NOUN Erro|Patr|anim|datv|femn|plur	1476
NOUN Erro|Patr|accs|anim|masc|sing	1459
NOUN Erro|Patr|accs|anim|femn|sing	1471
NOUN Erro|Patr|accs|anim|masc|plur	1465
NOUN Erro|Patr|accs|anim|femn|plur	1477
NOUN Erro|Patr|ablt|anim|masc|sing	1460
NOUN Erro|Patr|ablt|anim|femn|sing	1472
NOUN Erro|Patr|ablt|anim|masc|plur	1466
NOUN Erro|Patr|ablt|anim|femn|plur	1478
NOUN Erro|Patr|anim|loct|masc|sing	1461
NOUN Erro|Patr|anim|femn|loct|sing	1473
NOUN Erro|Patr|anim|loct|masc|plur	1467
NOUN Erro|Patr|anim|femn|loct|plur	1479
NOUN Erro|Sgtm|V-ey|ablt|femn|inan|sing	1442
NOUN Erro|V-oy|ablt|femn|inan|sing	1429
NOUN Dist|femn|gent|inan|plur	176
NOUN Dist|datv|femn|inan|plur	4443
NOUN Dist|Name|anim|femn|nomn|sing	674
NOUN Dist|Infr|Patr|ablt|anim|masc|sing	901
NOUN Dist|Slng|anim|masc|nomn|sing	1480
NOUN Dist|Slng|anim|masc|nomn|plur	1486
NOUN Dist|Slng|anim|gent|masc|sing	1481
NOUN Dist|Slng|anim|gent|masc|plur	1487
NOUN Dist|Slng|anim|datv|masc|sing	1482
NOUN Dist|Slng|anim|datv|masc|plur	1488
NOUN Dist|Slng|accs|anim|masc|sing	1483
NOUN Dist|Slng|accs|anim|masc|plur	1489
NOUN Dist|Slng|ablt|anim|masc|sing	1484
NOUN Dist|Slng|ablt|anim|masc|plur	1490
NOUN Dist|Slng|anim|loct|masc|sing	1485
NOUN Dist|Slng|anim|loct|masc|plur	1491
NOUN ANim|V-be|neut|nomn|sing	178
NOUN V-be|inan|neut|nomn|sing	229
NOUN ANim|V-be|neut|nomn|plur	190
NOUN V-be|inan|neut|nomn|plur	236
NOUN Sgtm|V-be|inan|neut|nomn|sing	332
NOUN ANim|V-be|gent|neut|sing	180
NOUN V-be|gent|inan|neut|sing	230
NOUN Sgtm|V-be|gent|inan|neut|sing	333
NOUN ANim|V-be|datv|neut|sing	182
NOUN V-be|datv|inan|neut|sing	231
NOUN ANim|V-be|datv|neut|plur	193
NOUN V-be|datv|inan|neut|plur	237
NOUN Sgtm|V-be|datv|inan|neut|sing	334
NOUN ANim|V-be|accs|neut|sing	184
NOUN V-be|accs|inan|neut|sing	232
NOUN ANim|V-be|accs|neut|plur	195
NOUN V-be|accs|inan|neut|plur	238
NOUN Sgtm|V-be|accs|inan|neut|sing	335
NOUN ANim|V-be|ablt|neut|sing	186
NOUN V-be|ablt|inan|neut|sing	233
NOUN ANim|V-be|ablt|neut|plur	197
NOUN V-be|ablt|inan|neut|plur	239
NOUN Sgtm|V-be|ablt|inan|neut|sing	336
NOUN ANim|V-be|loct|neut|sing	188
NOUN V-be|inan|loct|neut|sing	234
NOUN ANim|V-be|loct|neut|plur	199
NOUN V-be|inan|loct|neut|plur	240
NOUN Sgtm|V-be|inan|loct|neut|sing	337
NOUN Orgn|V-be|inan|neut|nomn|sing	1121
NOUN Orgn|V-be|inan|neut|nomn|plur	1128
NOUN Orgn|V-be|gent|inan|neut|sing	1122
NOUN Orgn|V-be|datv|inan|neut|sing	1123
NOUN Orgn|V-be|datv|inan|neut|plur	1129
NOUN Orgn|V-be|accs|inan|neut|sing	1124
NOUN Orgn|V-be|accs|inan|neut|plur	1130
NOUN Orgn|V-be|ablt|inan|neut|sing	1125
NOUN Orgn|V-be|ablt|inan|neut|plur	1131
NOUN Orgn|V-be|inan|loct|neut|sing	1126
NOUN Orgn|V-be|inan|loct|neut|plur	1132
NOUN Patr|V-ie|anim|masc|nomn|sing	1492
NOUN Patr|V-ie|anim|femn|nomn|sing	1504
NOUN Patr|V-ie|anim|masc|nomn|plur	1498
NOUN Patr|V-ie|anim|femn|nomn|plur	1510
NOUN Patr|V-ie|anim|gent|masc|sing	1493
NOUN Patr|V-ie|anim|femn|gent|sing	1505
NOUN Patr|V-ie|anim|gent|masc|plur	1499
NOUN Patr|V-ie|anim|femn|gent|plur	1511
NOUN Patr|V-ie|anim|datv|masc|sing	1494
NOUN Patr|V-ie|anim|datv|femn|sing	1506
NOUN Patr|V-ie|anim|datv|masc|plur	1500
NOUN Patr|V-ie|anim|datv|femn|plur	1512
NOUN Patr|V-ie|accs|anim|masc|sing	1495
NOUN Patr|V-ie|accs|anim|femn|sing	1507
NOUN Patr|V-ie|accs|anim|masc|plur	1501
NOUN Patr|V-ie|accs|anim|femn|plur	1513
NOUN Patr|V-ie|ablt|anim|masc|sing	1496
NOUN Patr|V-ie|ablt|anim|femn|sing	1508
NOUN Patr|V-ie|ablt|anim|masc|plur	1502
NOUN Patr|V-ie|ablt|anim|femn|plur	1514
NOUN Patr|V-ie|anim|loct|masc|sing	1497
NOUN Patr|V-ie|anim|femn|loct|sing	1509
NOUN Patr|V-ie|anim|loct|masc|plur	1503
NOUN Patr|V-ie|anim|femn|loct|plur	1515
NOUN V-be|V-bi|inan|loct|neut|sing	235
NOUN Orgn|V-be|V-bi|inan|loct|neut|sing	1127
NOUN Coun|gent|inan|masc|plur	66
NOUN Coun|femn|gent|inan|plur	148
NOUN Coun|Name|anim|femn|gent|plur	673
NOUN Inmx|anim|masc|nomn|sing	1516
NOUN Inmx|inan|masc|nomn|sing	1530
NOUN Inmx|anim|femn|nomn|sing	1542
NOUN Inmx|femn|inan|nomn|sing	1557
NOUN Inmx|anim|neut|nomn|sing	1571
NOUN Inmx|anim|masc|nomn|plur	1522
NOUN Inmx|inan|masc|nomn|plur	1536
NOUN Inmx|anim|femn|nomn|plur	1549
NOUN Inmx|femn|inan|nomn|plur	1564
NOUN Inmx|anim|neut|nomn|plur	1577
NOUN Fixd|Inmx|anim|femn|nomn|sing	1584
NOUN Fixd|Inmx|anim|femn|nomn|plur	1585
NOUN Inmx|anim|gent|masc|sing	1517
NOUN Inmx|gent|inan|masc|sing	1531
NOUN Inmx|anim|femn|gent|sing	1543
NOUN Inmx|femn|gent|inan|sing	1558
NOUN Inmx|anim|gent|neut|sing	1572
NOUN Inmx|anim|gent|masc|plur	1523
NOUN Inmx|gent|inan|masc|plur	1537
NOUN Inmx|anim|femn|gent|plur	1550
NOUN Inmx|femn|gent|inan|plur	1565
NOUN Inmx|anim|gent|neut|plur	1578
NOUN Fixd|Inmx|anim|femn|gent|sing	1590
NOUN Fixd|Inmx|anim|femn|gent|plur	1595
NOUN Inmx|anim|datv|masc|sing	1518
NOUN Inmx|datv|inan|masc|sing	1532
NOUN Inmx|anim|datv|femn|sing	1544
NOUN Inmx|datv|femn|inan|sing	1559
NOUN Inmx|anim|datv|neut|sing	1573
NOUN Inmx|anim|datv|masc|plur	1524
NOUN Inmx|datv|inan|masc|plur	1538
NOUN Inmx|anim|datv|femn|plur	1551
NOUN Inmx|datv|femn|inan|plur	1566
NOUN Inmx|anim|datv|neut|plur	1579
NOUN Fixd|Inmx|anim|datv|femn|sing	1591
NOUN Fixd|Inmx|anim|datv|femn|plur	1596
NOUN Inmx|accs|anim|masc|sing	1519
NOUN Inmx|accs|inan|masc|sing	1533
NOUN Inmx|accs|anim|inan|masc|sing	1528
NOUN Inmx|accs|anim|femn|sing	1545
NOUN Inmx|accs|femn|inan|sing	1560
NOUN Inmx|accs|anim|neut|sing	1574
NOUN Inmx|accs|anim|masc|plur	1525
NOUN Inmx|accs|inan|masc|plur	1539
NOUN Inmx|accs|anim|inan|masc|plur	1529
NOUN Inmx|accs|anim|femn|plur	1552
NOUN Inmx|accs|femn|inan|plur	1567
NOUN Inmx|accs|anim|femn|inan|plur	1555
NOUN Inmx|accs|anim|neut|plur	1580
NOUN Inmx|accs|anim|inan|neut|plur	1583
NOUN Fixd|Inmx|accs|anim|femn|sing	1592
NOUN Fixd|Inmx|accs|anim|femn|plur	1588
NOUN Inmx|ablt|anim|masc|sing	1520
NOUN Inmx|ablt|inan|masc|sing	1534
NOUN Inmx|ablt|anim|femn|sing	1546
NOUN Inmx|ablt|femn|inan|sing	1561
NOUN Inmx|ablt|anim|neut|sing	1575
NOUN Inmx|ablt|anim|masc|plur	1526
NOUN Inmx|ablt|inan|masc|plur	1540
NOUN Inmx|ablt|anim|femn|plur	1553
NOUN Inmx|ablt|femn|inan|plur	1568
NOUN Inmx|ablt|anim|neut|plur	1581
NOUN Fixd|Inmx|ablt|anim|femn|sing	1593
NOUN Fixd|Inmx|ablt|anim|femn|plur	1597
NOUN Inmx|anim|loct|masc|sing	1521
NOUN Inmx|inan|loct|masc|sing	1535
NOUN Inmx|anim|femn|loct|sing	1548
NOUN Inmx|femn|inan|loct|sing	1563
NOUN Inmx|anim|loct|neut|sing	1576
NOUN Inmx|anim|loct|masc|plur	1527
NOUN Inmx|inan|loct|masc|plur	1541
NOUN Inmx|anim|femn|loct|plur	1554
NOUN Inmx|femn|inan|loct|plur	1569
NOUN Inmx|anim|loct|neut|plur	1582
NOUN Fixd|Inmx|anim|femn|loct|sing	1594
NOUN Fixd|Inmx|anim|femn|loct|plur	1598
NOUN Inmx|V-ey|ablt|anim|femn|sing	1547
NOUN Inmx|V-ey|ablt|femn|inan|sing	1562
NOUN Inmx|V-oy|ablt|anim|femn|sing	1556
NOUN Inmx|V-oy|ablt|femn|inan|sing	1570
NOUN Dist|Fixd|Inmx|anim|femn|gent|plur	1586
NOUN Dist|Fixd|Inmx|anim|datv|femn|plur	1587
NOUN Dist|Fixd|Inmx|ablt|anim|femn|plur	1589
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Name|Sgtm|anim|nomn|sing	1599
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Name|Sgtm|anim|gent|sing	1600
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Name|Sgtm|anim|datv|sing	1601
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Name|Sgtm|accs|anim|sing	1602
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Name|Sgtm|ablt|anim|sing	1603
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Name|Sgtm|anim|loct|sing	1604
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Patr|Sgtm|anim|nomn|sing	1605
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Patr|Sgtm|anim|gent|sing	1606
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Patr|Sgtm|anim|datv|sing	1607
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Patr|Sgtm|accs|anim|sing	1608
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Patr|Sgtm|ablt|anim|sing	1609
NOUN Abbr|Fixd|GNdr|Init|Ms-f|Patr|Sgtm|anim|loct|sing	1610
ADJF masc|nomn|sing	1611
ADJF femn|nomn|sing	1617
ADJF neut|nomn|sing	1624
ADJF nomn|plur	1630
ADJF Fixd|masc|nomn|sing	1774
ADJF Fixd|femn|nomn|sing	1780
ADJF Fixd|neut|nomn|sing	1786
ADJF Fixd|nomn|plur	1792
ADJF gent|masc|sing	1612
ADJF femn|gent|sing	1618
ADJF gent|neut|sing	1625
ADJF gent|plur	1631
ADJF Fixd|gent|masc|sing	1775
ADJF Fixd|femn|gent|sing	1781
ADJF Fixd|gent|neut|sing	1787
ADJF Fixd|gent|plur	1793
ADJF datv|masc|sing	1613
ADJF datv|femn|sing	1619
ADJF datv|neut|sing	1626
ADJF datv|plur	1632
ADJF Fixd|datv|masc|sing	1776
ADJF Fixd|datv|femn|sing	1782
ADJF Fixd|datv|neut|sing	1788
ADJF Fixd|datv|plur	1794
ADJF accs|anim|masc|sing	1638
ADJF accs|inan|masc|sing	1614
ADJF accs|femn|sing	1620
ADJF accs|neut|sing	1627
ADJF accs|anim|plur	1637
ADJF accs|inan|plur	1633
ADJF Fixd|accs|masc|sing	1777
ADJF Fixd|accs|femn|sing	1783
ADJF Fixd|accs|neut|sing	1789
ADJF Fixd|accs|plur	1795
ADJF ablt|masc|sing	1615
ADJF ablt|femn|sing	1621
ADJF ablt|neut|sing	1628
ADJF ablt|plur	1634
ADJF Fixd|ablt|masc|sing	1778
ADJF Fixd|ablt|femn|sing	1784
ADJF Fixd|ablt|neut|sing	1790
ADJF Fixd|ablt|plur	1796
ADJF loct|masc|sing	1616
ADJF femn|loct|sing	1623
ADJF loct|neut|sing	1629
ADJF loct|plur	1635
ADJF Fixd|loct|masc|sing	1779
ADJF Fixd|femn|loct|sing	1785
ADJF Fixd|loct|neut|sing	1791
ADJF Fixd|loct|plur	1797
ADJF Abbr|Fixd|masc|nomn|sing	1798
ADJF Abbr|Fixd|femn|nomn|sing	1804
ADJF Abbr|Fixd|neut|nomn|sing	1810
ADJF Abbr|Fixd|nomn|plur	1816
ADJF Abbr|Fixd|gent|masc|sing	1799
ADJF Abbr|Fixd|femn|gent|sing	1805
ADJF Abbr|Fixd|gent|neut|sing	1811
ADJF Abbr|Fixd|gent|plur	1817
ADJF Abbr|Fixd|datv|masc|sing	1800
ADJF Abbr|Fixd|datv|femn|sing	1806
ADJF Abbr|Fixd|datv|neut|sing	1812
ADJF Abbr|Fixd|datv|plur	1818
ADJF Abbr|Fixd|accs|masc|sing	1801
ADJF Abbr|Fixd|accs|femn|sing	1807
ADJF Abbr|Fixd|accs|neut|sing	1813
ADJF Abbr|Fixd|accs|plur	1819
ADJF Abbr|Fixd|ablt|masc|sing	1802
ADJF Abbr|Fixd|ablt|femn|sing	1808
ADJF Abbr|Fixd|ablt|neut|sing	1814
ADJF Abbr|Fixd|ablt|plur	1820
ADJF Abbr|Fixd|loct|masc|sing	1803
ADJF Abbr|Fixd|femn|loct|sing	1809
ADJF Abbr|Fixd|loct|neut|sing	1815
ADJF Abbr|Fixd|loct|plur	1821
ADJF Geox|masc|nomn|sing	1822
ADJF Geox|femn|nomn|sing	1829
ADJF Geox|neut|nomn|sing	1836
ADJF Geox|nomn|plur	1842
ADJF Geox|gent|masc|sing	1823
ADJF Geox|femn|gent|sing	1830
ADJF Geox|gent|neut|sing	1837
ADJF Geox|gent|plur	1843
ADJF Geox|datv|masc|sing	1824
ADJF Geox|datv|femn|sing	1831
ADJF Geox|datv|neut|sing	1838
ADJF Geox|datv|plur	1844
ADJF Geox|accs|anim|masc|sing	1825
ADJF Geox|accs|inan|masc|sing	1826
ADJF Geox|accs|femn|sing	1832
ADJF Geox|accs|neut|sing	1839
ADJF Geox|accs|anim|plur	1845
ADJF Geox|accs|inan|plur	1846
ADJF Geox|ablt|masc|sing	1827
ADJF Geox|ablt|femn|sing	1833
ADJF Geox|ablt|neut|sing	1840
ADJF Geox|ablt|plur	1847
ADJF Geox|loct|masc|sing	1828
ADJF Geox|femn|loct|sing	1835
ADJF Geox|loct|neut|sing	1841
ADJF Geox|loct|plur	1848
ADJF Subx|masc|nomn|sing	1850
ADJF Subx|femn|nomn|sing	1857
ADJF Subx|neut|nomn|sing	1864
ADJF Subx|nomn|plur	1870
ADJF Subx|gent|masc|sing	1851
ADJF Subx|femn|gent|sing	1858
ADJF Subx|gent|neut|sing	1865
ADJF Subx|gent|plur	1871
ADJF Subx|datv|masc|sing	1852
ADJF Subx|datv|femn|sing	1859
ADJF Subx|datv|neut|sing	1866
ADJF Subx|datv|plur	1872
ADJF Subx|accs|anim|masc|sing	1853
ADJF Subx|accs|inan|masc|sing	1854
ADJF Subx|accs|femn|sing	1860
ADJF Subx|accs|neut|sing	1867
ADJF Subx|accs|anim|plur	1873
ADJF Subx|accs|inan|plur	1874
ADJF Subx|ablt|masc|sing	1855
ADJF Subx|ablt|femn|sing	1861
ADJF Subx|ablt|neut|sing	1868
ADJF Subx|ablt|plur	1875
ADJF Subx|loct|masc|sing	1856
ADJF Subx|femn|loct|sing	1863
ADJF Subx|loct|neut|sing	1869
ADJF Subx|loct|plur	1876
ADJF Supr|masc|nomn|sing	1674
ADJF Supr|femn|nomn|sing	1681
ADJF Supr|neut|nomn|sing	1688
ADJF Supr|nomn|plur	1694
ADJF Supr|gent|masc|sing	1675
ADJF Supr|femn|gent|sing	1682
ADJF Supr|gent|neut|sing	1689
ADJF Supr|gent|plur	1695
ADJF Supr|datv|masc|sing	1676
ADJF Supr|datv|femn|sing	1683
ADJF Supr|datv|neut|sing	1690
ADJF Supr|datv|plur	1696
ADJF Supr|accs|anim|masc|sing	1677
ADJF Supr|accs|inan|masc|sing	1678
ADJF Supr|accs|femn|sing	1684
ADJF Supr|accs|neut|sing	1691
ADJF Supr|accs|anim|plur	1697
ADJF Supr|accs|inan|plur	1698
ADJF Supr|ablt|masc|sing	1679
ADJF Supr|ablt|femn|sing	1685
ADJF Supr|ablt|neut|sing	1692
ADJF Supr|ablt|plur	1699
ADJF Supr|loct|masc|sing	1680
ADJF Supr|femn|loct|sing	1687
ADJF Supr|loct|neut|sing	1693
ADJF Supr|loct|plur	1700
ADJF Qual|masc|nomn|sing	1878
ADJF Qual|femn|nomn|sing	1885
ADJF Qual|neut|nomn|sing	1892
ADJF Qual|nomn|plur	1898
ADJF Qual|gent|masc|sing	1879
ADJF Qual|femn|gent|sing	1886
ADJF Qual|gent|neut|sing	1893
ADJF Qual|gent|plur	1899
ADJF Qual|datv|masc|sing	1880
ADJF Qual|datv|femn|sing	1887
ADJF Qual|datv|neut|sing	1894
ADJF Qual|datv|plur	1900
ADJF Qual|accs|anim|masc|sing	1881
ADJF Qual|accs|inan|masc|sing	1882
ADJF Qual|accs|femn|sing	1888
ADJF Qual|accs|neut|sing	1895
ADJF Qual|accs|anim|plur	1901
ADJF Qual|accs|inan|plur	1902
ADJF Qual|ablt|masc|sing	1883
ADJF Qual|ablt|femn|sing	1889
ADJF Qual|ablt|neut|sing	1896
ADJF Qual|ablt|plur	1903
ADJF Qual|loct|masc|sing	1884
ADJF Qual|femn|loct|sing	1891
ADJF Qual|loct|neut|sing	1897
ADJF Qual|loct|plur	1904
ADJF Qual|Subx|masc|nomn|sing	1986
ADJF Qual|Subx|femn|nomn|sing	1993
ADJF Qual|Subx|neut|nomn|sing	2000
ADJF Qual|Subx|nomn|plur	2006
ADJF Fixd|Qual|Subx|masc|nomn|sing	2014
ADJF Fixd|Qual|Subx|femn|nomn|sing	2020
ADJF Fixd|Qual|Subx|neut|nomn|sing	2026
ADJF Fixd|Qual|Subx|nomn|plur	2032
ADJF Qual|Subx|gent|masc|sing	1987
ADJF Qual|Subx|femn|gent|sing	1994
ADJF Qual|Subx|gent|neut|sing	2001
ADJF Qual|Subx|gent|plur	2007
ADJF Fixd|Qual|Subx|gent|masc|sing	2015
ADJF Fixd|Qual|Subx|femn|gent|sing	2021
ADJF Fixd|Qual|Subx|gent|neut|sing	2027
ADJF Fixd|Qual|Subx|gent|plur	2033
ADJF Qual|Subx|datv|masc|sing	1988
ADJF Qual|Subx|datv|femn|sing	1995
ADJF Qual|Subx|datv|neut|sing	2002
ADJF Qual|Subx|datv|plur	2008
ADJF Fixd|Qual|Subx|datv|masc|sing	2016
ADJF Fixd|Qual|Subx|datv|femn|sing	2022
ADJF Fixd|Qual|Subx|datv|neut|sing	2028
ADJF Fixd|Qual|Subx|datv|plur	2034
ADJF Qual|Subx|accs|anim|masc|sing	1989
ADJF Qual|Subx|accs|inan|masc|sing	1990
ADJF Qual|Subx|accs|femn|sing	1996
ADJF Qual|Subx|accs|neut|sing	2003
ADJF Qual|Subx|accs|anim|plur	2009
ADJF Qual|Subx|accs|inan|plur	2010
ADJF Fixd|Qual|Subx|accs|masc|sing	2017
ADJF Fixd|Qual|Subx|accs|femn|sing	2023
ADJF Fixd|Qual|Subx|accs|neut|sing	2029
ADJF Fixd|Qual|Subx|accs|plur	2035
ADJF Qual|Subx|ablt|masc|sing	1991
ADJF Qual|Subx|ablt|femn|sing	1997
ADJF Qual|Subx|ablt|neut|sing	2004
ADJF Qual|Subx|ablt|plur	2011
ADJF Fixd|Qual|Subx|ablt|masc|sing	2018
ADJF Fixd|Qual|Subx|ablt|femn|sing	2024
ADJF Fixd|Qual|Subx|ablt|neut|sing	2030
ADJF Fixd|Qual|Subx|ablt|plur	2036
ADJF Qual|Subx|loct|masc|sing	1992
ADJF Qual|Subx|femn|loct|sing	1999
ADJF Qual|Subx|loct|neut|sing	2005
ADJF Qual|Subx|loct|plur	2012
ADJF Fixd|Qual|Subx|loct|masc|sing	2019
ADJF Fixd|Qual|Subx|femn|loct|sing	2025
ADJF Fixd|Qual|Subx|loct|neut|sing	2031
ADJF Fixd|Qual|Subx|loct|plur	2037
ADJF Abbr|Fixd|Qual|Subx|masc|nomn|sing	2038
ADJF Abbr|Fixd|Qual|Subx|femn|nomn|sing	2044
ADJF Abbr|Fixd|Qual|Subx|neut|nomn|sing	2050
ADJF Abbr|Fixd|Qual|Subx|nomn|plur	2056
ADJF Abbr|Fixd|Qual|Subx|gent|masc|sing	2039
ADJF Abbr|Fixd|Qual|Subx|femn|gent|sing	2045
ADJF Abbr|Fixd|Qual|Subx|gent|neut|sing	2051
ADJF Abbr|Fixd|Qual|Subx|gent|plur	2057
ADJF Abbr|Fixd|Qual|Subx|datv|masc|sing	2040
ADJF Abbr|Fixd|Qual|Subx|datv|femn|sing	2046
ADJF Abbr|Fixd|Qual|Subx|datv|neut|sing	2052
ADJF Abbr|Fixd|Qual|Subx|datv|plur	2058
ADJF Abbr|Fixd|Qual|Subx|accs|masc|sing	2041
ADJF Abbr|Fixd|Qual|Subx|accs|femn|sing	2047
ADJF Abbr|Fixd|Qual|Subx|accs|neut|sing	2053
ADJF Abbr|Fixd|Qual|Subx|accs|plur	2059
ADJF Abbr|Fixd|Qual|Subx|ablt|masc|sing	2042
ADJF Abbr|Fixd|Qual|Subx|ablt|femn|sing	2048
ADJF Abbr|Fixd|Qual|Subx|ablt|neut|sing	2054
ADJF Abbr|Fixd|Qual|Subx|ablt|plur	2060
ADJF Abbr|Fixd|Qual|Subx|loct|masc|sing	2043
ADJF Abbr|Fixd|Qual|Subx|femn|loct|sing	2049
ADJF Abbr|Fixd|Qual|Subx|loct|neut|sing	2055
ADJF Abbr|Fixd|Qual|Subx|loct|plur	2061
ADJF Qual|Supr|masc|nomn|sing	1743
ADJF Qual|Supr|femn|nomn|sing	1750
ADJF Qual|Supr|neut|nomn|sing	1757
ADJF Qual|Supr|nomn|plur	1763
ADJF Qual|Supr|gent|masc|sing	1744
ADJF Qual|Supr|femn|gent|sing	1751
ADJF Qual|Supr|gent|neut|sing	1758
ADJF Qual|Supr|gent|plur	1764
ADJF Qual|Supr|datv|masc|sing	1745
ADJF Qual|Supr|datv|femn|sing	1752
ADJF Qual|Supr|datv|neut|sing	1759
ADJF Qual|Supr|datv|plur	1765
ADJF Qual|Supr|accs|anim|masc|sing	1746
ADJF Qual|Supr|accs|inan|masc|sing	1747
ADJF Qual|Supr|accs|femn|sing	1753
ADJF Qual|Supr|accs|neut|sing	1760
ADJF Qual|Supr|accs|anim|plur	1766
ADJF Qual|Supr|accs|inan|plur	1767
ADJF Qual|Supr|ablt|masc|sing	1748
ADJF Qual|Supr|ablt|femn|sing	1754
ADJF Qual|Supr|ablt|neut|sing	1761
ADJF Qual|Supr|ablt|plur	1768
ADJF Qual|Supr|loct|masc|sing	1749
ADJF Qual|Supr|femn|loct|sing	1756
ADJF Qual|Supr|loct|neut|sing	1762
ADJF Qual|Supr|loct|plur	1769
ADJF Apro|masc|nomn|sing	2062
ADJF Apro|femn|nomn|sing	2069
ADJF Apro|neut|nomn|sing	2075
ADJF Apro|nomn|plur	2081
ADJF Apro|gent|masc|sing	2063
ADJF Apro|femn|gent|sing	2070
ADJF Apro|gent|neut|sing	2076
ADJF Apro|gent|plur	2082
ADJF Apro|datv|masc|sing	2064
ADJF Apro|datv|femn|sing	2071
ADJF Apro|datv|neut|sing	2077
ADJF Apro|datv|plur	2083
ADJF Apro|accs|anim|masc|sing	2066
ADJF Apro|accs|inan|masc|sing	2065
ADJF Apro|accs|femn|sing	2072
ADJF Apro|accs|neut|sing	2078
ADJF Apro|accs|anim|plur	2085
ADJF Apro|accs|inan|plur	2084
ADJF Apro|ablt|masc|sing	2067
ADJF Apro|ablt|femn|sing	2073
ADJF Apro|ablt|neut|sing	2079
ADJF Apro|ablt|plur	2086
ADJF Apro|loct|masc|sing	2068
ADJF Apro|femn|loct|sing	2074
ADJF Apro|loct|neut|sing	2080
ADJF Apro|loct|plur	2087
ADJF Abbr|Apro|masc|nomn|sing	2110
ADJF Abbr|Apro|femn|nomn|sing	2117
ADJF Abbr|Apro|neut|nomn|sing	2123
ADJF Abbr|Apro|nomn|plur	2129
ADJF Abbr|Apro|gent|masc|sing	2111
ADJF Abbr|Apro|femn|gent|sing	2118
ADJF Abbr|Apro|gent|neut|sing	2124
ADJF Abbr|Apro|gent|plur	2130
ADJF Abbr|Apro|datv|masc|sing	2112
ADJF Abbr|Apro|datv|femn|sing	2119
ADJF Abbr|Apro|datv|neut|sing	2125
ADJF Abbr|Apro|datv|plur	2131
ADJF Abbr|Apro|accs|anim|masc|sing	2114
ADJF Abbr|Apro|accs|inan|masc|sing	2113
ADJF Abbr|Apro|accs|femn|sing	2120
ADJF Abbr|Apro|accs|neut|sing	2126
ADJF Abbr|Apro|accs|anim|plur	2133
ADJF Abbr|Apro|accs|inan|plur	2132
ADJF Abbr|Apro|ablt|masc|sing	2115
ADJF Abbr|Apro|ablt|femn|sing	2121
ADJF Abbr|Apro|ablt|neut|sing	2127
ADJF Abbr|Apro|ablt|plur	2134
ADJF Abbr|Apro|loct|masc|sing	2116
ADJF Abbr|Apro|femn|loct|sing	2122
ADJF Abbr|Apro|loct|neut|sing	2128
ADJF Abbr|Apro|loct|plur	2135
ADJF Apro|Subx|masc|nomn|sing	2136
ADJF Apro|Subx|femn|nomn|sing	2143
ADJF Apro|Subx|neut|nomn|sing	2149
ADJF Apro|Subx|nomn|plur	2155
ADJF Apro|Subx|gent|masc|sing	2137
ADJF Apro|Subx|femn|gent|sing	2144
ADJF Apro|Subx|gent|neut|sing	2150
ADJF Apro|Subx|gent|plur	2156
